,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan3DProMet_M2,0.2529942335764914,0.2529942335764914,1.0,1.0,1.2878758503756387
EpiDISH_BPRNACan3DProMet_B,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_M0,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_M1,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_Mono,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_Neu,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_NK,0.0,0.0,0.0,1.0,1.0
